codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00016,00024,00028,00029,00036,00037,00041,00050,00058,00061,00077,00108
01,001,Comuna 01,00009,000242,0,0,6,0,15,0,0,9,76,0,149,0,0,0,3
01,001,Comuna 01,00009,000243,0,0,9,0,9,0,0,10,75,0,134,0,0,0,8
01,001,Comuna 01,00009,000244,0,0,11,0,14,0,0,11,71,0,125,0,0,0,8
01,001,Comuna 01,00009,000245,0,0,5,0,10,0,0,4,74,0,159,0,0,0,7
01,001,Comuna 01,00009,000246,0,0,3,0,13,0,0,20,61,0,130,0,0,0,9
01,001,Comuna 01,00009,000247,0,0,11,0,12,0,0,11,66,0,147,0,0,0,5
01,001,Comuna 01,00009,000248,0,0,8,0,17,0,0,4,70,0,146,0,0,0,11
01,001,Comuna 01,00009,000249,0,0,9,0,10,0,0,12,67,0,140,0,0,0,6
01,001,Comuna 01,00009,000250,0,0,4,0,15,0,0,10,76,0,137,0,0,0,9
01,001,Comuna 01,00009,000251,0,0,11,0,9,0,0,5,61,0,154,0,0,0,7
01,001,Comuna 01,00009,000252,0,0,10,0,17,0,0,9,66,0,153,0,0,0,10
01,001,Comuna 01,00009,000253,0,0,5,0,13,0,0,7,71,0,137,0,0,0,4
01,001,Comuna 01,00009,000254,0,0,9,0,14,0,0,11,72,0,136,0,0,0,5
01,001,Comuna 01,00009,000255,0,0,4,0,8,0,0,9,68,0,156,0,0,0,7
01,001,Comuna 01,00009,000256,0,0,8,0,10,0,0,8,73,0,140,0,0,0,4
01,001,Comuna 01,00009,000257,0,0,8,0,12,0,0,6,62,0,165,0,0,0,1
01,001,Comuna 01,00009,000258,0,0,7,0,11,0,0,10,74,0,136,0,0,0,7
01,001,Comuna 01,00009,000259,0,0,10,0,9,0,0,9,63,0,153,0,0,0,7
01,001,Comuna 01,00009,000260,0,0,5,0,13,0,0,16,71,0,153,0,0,0,4
01,001,Comuna 01,00009,000261,0,0,8,0,9,0,0,11,65,0,146,0,0,0,9
01,001,Comuna 01,00010,000262,0,0,6,0,12,0,0,13,86,0,123,0,0,0,2
01,001,Comuna 01,00010,000263,0,0,11,0,18,0,0,12,99,0,122,0,0,0,9
01,001,Comuna 01,00010,000264,0,0,9,0,16,0,0,10,84,0,123,0,0,0,4
01,001,Comuna 01,00010,000265,0,0,10,0,15,0,0,12,87,0,118,0,0,0,2
01,001,Comuna 01,00010,000266,0,0,2,0,14,0,0,9,87,0,118,0,0,0,1
01,001,Comuna 01,00010,000267,0,0,8,0,11,0,0,13,98,0,117,0,0,0,5
01,001,Comuna 01,00010,000268,0,0,4,0,14,0,0,5,111,0,134,0,0,0,7
01,001,Comuna 01,00010,000269,0,0,8,0,9,0,0,10,95,0,123,0,0,0,7
01,001,Comuna 01,00010,000270,0,0,6,0,12,0,0,11,102,0,99,0,0,0,5
01,001,Comuna 01,00010,000271,0,0,8,0,11,0,0,10,86,0,130,0,0,0,4
01,001,Comuna 01,00010,000272,0,0,10,0,10,0,0,11,80,0,129,0,0,0,6
01,001,Comuna 01,00010,000273,0,0,5,0,16,0,0,11,94,0,116,0,0,0,4
01,001,Comuna 01,00010,000274,0,0,3,0,10,0,0,12,94,0,124,0,0,0,5
01,001,Comuna 01,00010,000275,0,0,15,0,18,0,0,15,74,0,115,0,0,0,5
