codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,01296,01297,01292,01301,01302,01295,01298,01304,01299,01293,01294,01300,01303
06,025,GENERAL GÜEMES,02338,059179,0,0,0,164,31,15,0,0,0,0,0,1,1,7,4,0
06,010,SAN LORENZO ,02273,058136,0,0,6,163,15,47,0,0,0,0,3,1,5,11,3,3
06,007,BERMEJO,02253,057974,0,0,12,162,32,55,0,0,0,0,1,0,3,4,7,0
06,008,LIBERTADOR GRAL. SAN MARTÍN,02266,058120,0,0,0,162,35,0,2,0,0,0,0,0,1,0,0,0
06,010,SAN LORENZO ,02273,058144,0,0,5,162,7,51,1,0,0,0,1,0,7,8,8,1
06,015,25 DE MAYO,02299,058591,0,0,0,162,36,37,0,1,0,1,1,0,1,7,0,0
06,003,LIBERTAD,02240,057888,0,0,0,161,64,24,1,0,0,1,2,0,10,3,7,0
06,003,LIBERTAD,02240,057890,0,0,11,161,42,41,0,0,0,1,4,0,16,3,7,1
06,003,LIBERTAD,02240,057895,0,0,12,161,34,46,0,0,0,0,8,2,9,0,6,3
06,008,LIBERTADOR GRAL. SAN MARTÍN,02263,058034,0,0,2,161,35,44,0,0,0,0,2,0,4,5,9,0
06,013,COMANDANTE FERNÁNDEZ ,02286,058380,0,0,0,161,12,65,1,0,0,0,2,0,4,9,4,0
06,016,MAIPÚ,02303,058682,0,0,9,161,25,0,0,0,0,0,1,0,13,14,0,0
06,003,LIBERTAD,02240,057889,0,0,14,160,34,60,1,0,0,1,4,1,6,6,5,2
06,008,LIBERTADOR GRAL. SAN MARTÍN,02265,058116,0,0,1,160,15,56,0,0,0,0,0,0,3,0,0,0
06,015,25 DE MAYO,02299,058595,0,0,12,160,26,41,0,0,0,0,4,0,4,11,1,0
06,025,GENERAL GÜEMES,02329,059086,0,0,13,160,62,10,1,0,0,0,0,0,1,0,0,5
06,008,LIBERTADOR GRAL. SAN MARTÍN,02266,058117,0,0,12,159,44,25,1,0,0,0,2,0,5,5,1,0
06,012,O'HIGGINS,02284,058314,0,0,3,159,52,12,0,0,0,1,5,0,2,7,0,0
06,013,COMANDANTE FERNÁNDEZ ,02287,058454,0,0,18,159,19,41,3,1,0,0,2,1,1,9,6,0
06,025,GENERAL GÜEMES,02327,059047,0,0,14,159,25,23,3,1,0,0,1,0,4,7,2,0
06,003,LIBERTAD,02240,057900,0,0,0,158,44,31,1,1,0,0,6,0,4,5,0,2
06,005,SARGENTO CABRAL ,02247,057947,0,0,0,158,37,43,0,0,0,1,0,0,0,0,0,1
06,010,SAN LORENZO ,02273,058150,0,0,5,158,15,36,0,0,0,1,0,0,18,0,0,1
06,015,25 DE MAYO,02299,058600,0,0,0,158,36,45,0,0,0,1,1,0,0,4,6,2
06,001,SAN FERNANDO,02233,057819,0,0,12,157,42,29,1,0,0,0,4,4,1,9,6,6
06,003,LIBERTAD,02240,057887,0,0,0,157,57,0,0,1,0,0,0,1,0,0,0,2
