codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00026,00032,00034,00023,00024,00025,00030,00027,00029,00028,00031,00033,00035,00036
06,017,Independencia,02358,057442,0,0,3,193,55,5,7,0,0,0,0,0,0,0,0,0,0
06,021,12 de Octubre,02373,057703,0,0,6,193,61,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,021,12 de Octubre,02373,057705,0,0,4,193,63,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,024,Almirante Brown,02381,057827,0,0,13,193,63,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,025,General Güemes,02383,057900,0,0,8,193,62,4,4,0,0,0,0,0,0,0,0,0,0
06,025,General Güemes,02383,057903,0,0,0,193,64,3,10,0,0,0,0,0,0,0,0,0,0
06,025,General Güemes,02394,058040,0,0,2,193,34,3,3,0,0,0,0,0,0,0,0,0,0
06,001,San Fernando,02236,055312,0,0,6,49,192,14,2,0,0,0,0,0,0,0,0,0,0
06,003,Libertad,02277,056344,0,0,8,192,80,8,1,0,0,0,0,0,0,0,0,0,0
06,006,Presidencia de la  Plaza,02292,056473,0,0,8,192,58,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,007,Bermejo,02298,056519,0,0,14,192,65,8,2,0,0,0,0,0,0,0,0,0,0
06,008,Libertador Gral. San Martín,02306,056565,0,0,1,192,79,0,0,0,0,0,0,0,0,0,0,0,0
06,008,Libertador Gral. San Martín,02311,056680,0,0,3,192,27,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,010,San Lorenzo ,02320,056752,0,0,3,192,53,5,16,0,0,0,0,0,0,0,0,0,0
06,010,San Lorenzo ,02320,056753,0,0,0,192,44,8,15,0,0,0,0,0,0,0,0,0,0
06,012,O'Higgins,02330,056933,0,0,8,192,73,3,2,0,0,0,0,0,0,0,0,0,0
06,012,O'Higgins,02331,056938,0,0,5,192,56,0,4,0,0,0,0,0,0,0,0,0,0
06,016,Maipú,02354,057384,0,0,13,192,35,4,7,0,0,0,0,0,0,0,0,0,0
06,023,Fray Justo Sta. María de Oro,02376,057735,0,0,2,192,53,4,20,0,0,0,0,0,0,0,0,0,0
06,025,General Güemes,02385,057941,0,0,5,192,16,1,2,0,0,0,0,0,0,0,0,0,0
06,001,San Fernando,02236,055303,0,0,6,52,191,12,5,0,0,0,0,0,0,0,0,0,0
06,001,San Fernando,02236,055306,0,0,6,56,191,14,8,0,0,0,0,0,0,0,0,0,0
06,001,San Fernando,02243,055426,0,0,11,191,60,17,7,0,0,0,0,0,0,0,0,0,0
06,005,Sargento Cabral ,02288,056435,0,0,6,191,65,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,005,Sargento Cabral ,02289,056444,0,0,6,191,77,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,007,Bermejo,02297,056498,0,0,12,191,51,12,4,0,0,0,0,0,0,0,0,0,0
06,007,Bermejo,02298,056520,0,0,0,191,74,7,6,0,0,0,0,0,0,0,0,0,0
06,007,Bermejo,02298,056532,0,0,9,191,64,8,4,0,0,0,0,0,0,0,0,0,0
06,008,Libertador Gral. San Martín,02308,056581,0,0,7,191,74,11,5,0,0,0,0,0,0,0,0,0,0
06,008,Libertador Gral. San Martín,02310,056661,0,0,0,191,65,9,2,0,0,0,0,0,0,0,0,0,0
06,012,O'Higgins,02330,056924,0,0,8,191,49,6,4,0,0,0,0,0,0,0,0,0,0
06,024,Almirante Brown,02381,057844,0,0,3,191,43,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,001,San Fernando,02236,055309,0,0,11,59,190,12,7,0,0,0,0,0,0,0,0,0,0
06,001,San Fernando,02237,055318,0,0,13,48,190,5,5,0,0,0,0,0,0,0,0,0,0
06,001,San Fernando,02238,055334,0,0,11,43,190,15,4,0,0,0,0,0,0,0,0,0,0
06,001,San Fernando,02270,056260,0,0,11,190,60,22,15,0,0,0,0,0,0,0,0,0,0
06,003,Libertad,02277,056355,0,0,11,190,75,11,0,0,0,0,0,0,0,0,0,0,0
06,005,Sargento Cabral ,02286,056413,0,0,4,190,75,9,5,0,0,0,0,0,0,0,0,0,0
06,005,Sargento Cabral ,02289,056442,0,0,0,190,71,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,006,Presidencia de la  Plaza,02292,056471,0,0,7,190,76,10,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,007,Bermejo,02297,056502,0,0,12,190,67,6,3,0,0,0,0,0,0,0,0,0,0
06,008,Libertador Gral. San Martín,02311,056672,0,0,8,190,49,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,017,Independencia,02358,057445,0,0,2,190,41,7,7,0,0,0,0,0,0,0,0,0,0
06,024,Almirante Brown,02381,057826,0,0,6,190,58,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,024,Almirante Brown,02381,057845,0,0,3,190,52,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,025,General Güemes,02383,057920,0,0,12,190,46,7,8,0,0,0,0,0,0,0,0,0,0
06,003,Libertad,02279,056368,0,0,0,189,37,3,12,0,0,0,0,0,0,0,0,0,0
06,004,General Donovan,02285,056406,0,0,8,189,56,8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,006,Presidencia de la  Plaza,02292,056466,0,0,3,189,60,8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,007,Bermejo,02298,056530,0,0,0,189,64,11,2,0,0,0,0,0,0,0,0,0,0
06,015,25 de Mayo,02351,057349,0,0,7,189,50,7,0,0,0,0,0,0,0,0,0,0,0
06,018,General Belgrano,02361,057497,0,0,10,189,65,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,004,General Donovan,02284,056390,0,0,9,188,75,15,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,005,Sargento Cabral ,02289,056438,0,0,4,188,61,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,007,Bermejo,02297,056506,0,0,10,8,52,188,4,0,0,0,0,0,0,0,0,0,0
