codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00115,00118,00120,00119,00112,00121,00125,00114,00113,00117,00116,00122,00123,00124
04,001,Capital,1461,44927,0,0,4,187,28,26,6,23,2,4,0,0,0,0,0,0,0
04,001,Capital,1492,45653,0,0,5,187,35,34,8,6,7,4,0,0,0,0,0,0,0
04,001,Capital,1549,47419,0,0,5,187,25,22,6,11,5,3,0,0,0,0,0,0,0
04,001,Capital,1555,47521,0,0,2,187,33,34,7,14,8,6,0,0,0,0,0,0,0
04,001,Capital,1555,47523,0,0,0,187,28,35,5,6,5,5,0,0,0,0,0,0,0
04,001,Capital,1558,47586,0,0,3,187,25,34,12,9,4,4,0,0,0,0,0,0,0
04,003,Colón,1593,47907,0,0,7,187,39,28,4,9,8,0,0,0,0,0,0,0,0
04,003,Colón,1594,47945,0,0,0,187,35,25,0,9,6,1,0,0,0,0,0,0,0
04,003,Colón,1597,47981,0,0,3,187,26,54,4,1,5,3,0,0,0,0,0,0,0
04,003,Colón,1605,48343,0,0,5,187,45,41,6,3,7,4,0,0,0,0,0,0,0
04,009,Marcos Juárez,1710,49421,0,0,9,187,21,46,3,1,11,3,0,0,0,0,0,0,0
04,013,Río Cuarto,1798,50584,0,0,6,187,47,29,5,3,14,5,0,0,0,0,0,0,0
04,014,Río Primero,1826,50805,0,0,8,187,38,35,4,12,4,5,0,0,0,0,0,0,0
04,014,Río Primero,1833,50849,0,0,8,187,56,27,0,7,2,2,0,0,0,0,0,0,0
04,014,Río Primero,1833,50852,0,0,2,187,48,25,0,6,3,2,0,0,0,0,0,0,0
04,020,San Justo,1924,51600,0,0,4,187,38,38,3,7,9,3,0,0,0,0,0,0,0
04,020,San Justo,1924,51607,0,0,3,187,29,37,4,5,10,8,0,0,0,0,0,0,0
04,001,Capital,1457,44800,0,0,2,186,21,52,6,15,1,4,0,0,0,0,0,0,0
04,001,Capital,1459,44896,0,0,6,186,35,36,6,13,10,1,0,0,0,0,0,0,0
04,001,Capital,1492,45637,0,0,3,186,43,48,7,6,5,6,0,0,0,0,0,0,0
04,001,Capital,1554,47515,0,0,4,186,39,44,8,10,6,5,0,0,0,0,0,0,0
04,001,Capital,1558,47568,0,0,4,186,27,27,10,13,6,3,0,0,0,0,0,0,0
04,001,Capital,1558,47571,0,0,3,186,35,31,12,10,8,9,0,0,0,0,0,0,0
04,001,Capital,1558,47576,0,0,2,186,36,40,3,3,5,6,0,0,0,0,0,0,0
04,003,Colón,1594,47934,0,0,2,186,33,38,3,6,6,2,0,0,0,0,0,0,0
04,003,Colón,1597,48020,0,0,2,186,18,47,1,1,12,3,0,0,0,0,0,0,0
04,003,Colón,1605,48299,0,0,6,186,32,44,8,8,3,4,0,0,0,0,0,0,0
04,005,General Roca,1645,48696,0,0,4,186,19,59,1,0,8,0,0,0,0,0,0,0,0
04,006,General San Martín,1669,48839,0,0,6,186,29,39,4,7,17,2,0,0,0,0,0,0,0
04,012,Punilla,1755,49841,0,0,3,186,24,28,9,2,9,1,0,0,0,0,0,0,0
04,016,Río Segundo,1860,50979,0,0,5,186,41,60,4,3,7,1,0,0,0,0,0,0,0
04,021,Santa María,1991,52381,0,0,4,186,44,27,11,7,6,2,0,0,0,0,0,0,0
04,001,Capital,1533,47005,0,0,186,0,47,0,2,10,2,1,0,0,0,0,0,0,0
04,001,Capital,1457,44795,0,0,9,185,21,30,12,5,6,9,0,0,0,0,0,0,0
04,001,Capital,1457,44799,0,0,3,185,25,21,9,24,3,2,0,0,0,0,0,0,0
04,001,Capital,1554,47504,0,0,6,185,34,56,11,5,9,2,0,0,0,0,0,0,0
04,001,Capital,1554,47511,0,0,3,185,38,44,11,13,5,7,0,0,0,0,0,0,0
04,001,Capital,1554,47517,0,0,3,185,36,42,17,5,9,6,0,0,0,0,0,0,0
04,001,Capital,1557,47563,0,0,10,185,34,28,10,8,4,4,0,0,0,0,0,0,0
04,001,Capital,1557,47564,0,0,5,185,23,40,6,9,4,4,0,0,0,0,0,0,0
04,001,Capital,1558,47579,0,0,2,185,23,36,9,17,3,7,0,0,0,0,0,0,0
04,003,Colón,1593,47900,0,0,8,185,44,29,6,8,7,4,0,0,0,0,0,0,0
04,003,Colón,1593,47910,0,0,4,185,42,35,7,1,3,4,0,0,0,0,0,0,0
04,003,Colón,1593,47920,0,0,10,185,27,45,2,1,5,4,0,0,0,0,0,0,0
04,009,Marcos Juárez,1703,49338,0,0,8,185,8,46,3,2,9,4,0,0,0,0,0,0,0
04,023,Tercero Arriba,2003,52489,0,0,3,185,24,49,7,6,5,4,0,0,0,0,0,0,0
04,023,Tercero Arriba,2011,52610,0,0,9,185,32,35,5,3,11,7,0,0,0,0,0,0,0
04,026,Unión,2045,52913,0,0,0,185,17,50,5,2,13,4,0,0,0,0,0,0,0
04,001,Capital,1452,44659,0,0,3,184,29,42,10,12,6,4,0,0,0,0,0,0,0
04,001,Capital,1457,44798,0,0,5,184,25,36,7,8,6,3,0,0,0,0,0,0,0
04,001,Capital,1459,44873,0,0,4,184,31,33,11,4,7,6,0,0,0,0,0,0,0
04,001,Capital,1461,44928,0,0,5,184,26,33,7,24,0,4,0,0,0,0,0,0,0
04,001,Capital,1461,44931,0,0,3,184,21,26,7,26,5,0,0,0,0,0,0,0,0
04,001,Capital,1492,45651,0,0,2,184,36,41,4,9,5,6,0,0,0,0,0,0,0
04,001,Capital,1492,45661,0,0,5,184,45,31,4,8,5,4,0,0,0,0,0,0,0
04,003,Colón,1597,48023,0,0,5,184,29,45,4,1,5,4,0,0,0,0,0,0,0
04,003,Colón,1605,48284,0,0,4,184,30,39,17,6,13,3,0,0,0,0,0,0,0
04,009,Marcos Juárez,1703,49337,0,0,3,184,26,41,3,1,9,5,0,0,0,0,0,0,0
04,009,Marcos Juárez,1703,49342,0,0,5,184,21,44,3,2,25,3,0,0,0,0,0,0,0
04,020,San Justo,1924,51592,0,0,10,184,31,47,1,4,17,4,0,0,0,0,0,0,0
04,021,Santa María,1990,52372,0,0,6,184,35,41,6,4,8,2,0,0,0,0,0,0,0
04,001,Capital,1510,46250,0,0,6,183,46,18,5,16,5,4,0,0,0,0,0,0,0
04,001,Capital,1516,46448,0,0,2,183,39,30,10,4,5,3,0,0,0,0,0,0,0
04,001,Capital,1549,47404,0,0,1,183,25,26,14,9,4,4,0,0,0,0,0,0,0
04,001,Capital,1554,47510,0,0,4,183,39,47,14,8,6,2,0,0,0,0,0,0,0
04,001,Capital,1555,47531,0,0,5,183,36,16,9,17,7,7,0,0,0,0,0,0,0
04,001,Capital,1558,47591,0,0,4,183,32,22,10,17,8,3,0,0,0,0,0,0,0
04,003,Colón,1597,47985,0,0,9,183,21,47,4,2,8,2,0,0,0,0,0,0,0
04,009,Marcos Juárez,1710,49417,0,0,6,183,21,51,2,2,9,1,0,0,0,0,0,0,0
